epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3071.82,0.67595,0.87079,1.1769,0.56931,0.71929,0.65254,0.59661,0.68209,1.01173,1.11321,0.00076325,0.00076325,0.00076325
61,3125.18,0.69808,0.88123,1.18879,0.55185,0.7149,0.6473,0.58423,0.67442,1.21407,1.107,0.000755,0.000755,0.000755
62,3178.04,0.68421,0.89973,1.1811,0.53891,0.75042,0.66333,0.60318,0.63411,0.97913,1.08114,0.00074675,0.00074675,0.00074675
63,3230.74,0.67589,0.87219,1.18031,0.54777,0.67449,0.6033,0.54255,0.69289,1.34369,1.10991,0.0007385,0.0007385,0.0007385
64,3284.55,0.67136,0.8572,1.18207,0.58421,0.75765,0.67548,0.61093,0.6667,0.92227,1.08826,0.00073025,0.00073025,0.00073025
65,3337.66,0.6833,0.87342,1.17947,0.55155,0.77191,0.67623,0.6168,0.65316,0.90412,1.07189,0.000722,0.000722,0.000722
66,3392.02,0.68119,0.85528,1.17704,0.56351,0.75597,0.66815,0.60998,0.65345,0.9516,1.09008,0.00071375,0.00071375,0.00071375
67,3439.93,0.67152,0.85824,1.1707,0.56374,0.75474,0.66217,0.60538,0.65436,0.92384,1.07851,0.0007055,0.0007055,0.0007055
68,3492.62,0.66874,0.8465,1.17468,0.62074,0.68734,0.65793,0.6071,0.6416,0.94483,1.08246,0.00069725,0.00069725,0.00069725
69,3543.86,0.68102,0.84726,1.18079,0.56106,0.73151,0.66873,0.60365,0.64599,0.99823,1.07917,0.000689,0.000689,0.000689
70,3592.55,0.66085,0.85547,1.16358,0.54599,0.69706,0.63379,0.56625,0.70306,1.22079,1.11425,0.00068075,0.00068075,0.00068075
71,3640.18,0.6712,0.85549,1.17317,0.54373,0.75426,0.65438,0.59247,0.70613,1.02809,1.1293,0.0006725,0.0006725,0.0006725
72,3687.88,0.66857,0.84152,1.17546,0.56458,0.71289,0.64662,0.59245,0.66546,1.18115,1.08192,0.00066425,0.00066425,0.00066425
73,3735.67,0.66652,0.85478,1.17283,0.58563,0.74496,0.67829,0.60992,0.65543,0.95284,1.09341,0.000656,0.000656,0.000656
74,3783.3,0.66021,0.85757,1.1629,0.55176,0.74433,0.67451,0.61798,0.64418,0.9392,1.08139,0.00064775,0.00064775,0.00064775
75,3838.78,0.6675,0.8352,1.1622,0.57198,0.75608,0.67033,0.59907,0.68137,0.91892,1.10437,0.0006395,0.0006395,0.0006395
76,3892.4,0.65107,0.82675,1.16532,0.5508,0.72267,0.64576,0.59488,0.63097,1.03208,1.07536,0.00063125,0.00063125,0.00063125
77,3944.28,0.66653,0.8437,1.16697,0.58605,0.76092,0.67891,0.61505,0.65483,0.92529,1.09143,0.000623,0.000623,0.000623
78,3997.3,0.6798,0.83742,1.17414,0.58258,0.753,0.67209,0.60621,0.69179,0.96433,1.12005,0.00061475,0.00061475,0.00061475
79,4049.62,0.66086,0.83619,1.16881,0.56564,0.77955,0.68393,0.61921,0.65979,0.93047,1.08811,0.0006065,0.0006065,0.0006065
80,4102.78,0.67045,0.82187,1.17819,0.57375,0.7669,0.67833,0.61468,0.64408,0.89732,1.08353,0.00059825,0.00059825,0.00059825
81,4156.15,0.66184,0.82761,1.16681,0.58972,0.72942,0.68268,0.62128,0.65697,0.98372,1.08293,0.00059,0.00059,0.00059
82,4208.41,0.64419,0.80614,1.14876,0.5302,0.76014,0.67537,0.61611,0.64665,1.12667,1.07866,0.00058175,0.00058175,0.00058175
83,4261.11,0.64405,0.80566,1.16407,0.56551,0.76533,0.67291,0.60463,0.63764,0.9404,1.07899,0.0005735,0.0005735,0.0005735
84,4314.09,0.64417,0.79719,1.15325,0.55706,0.76621,0.68363,0.62182,0.63207,0.96031,1.07199,0.00056525,0.00056525,0.00056525
85,4367.15,0.64486,0.80519,1.15406,0.56852,0.73618,0.66938,0.60379,0.66049,1.0169,1.0798,0.000557,0.000557,0.000557
86,4420.36,0.6331,0.78036,1.13526,0.587,0.76762,0.6905,0.62852,0.63632,0.86511,1.07031,0.00054875,0.00054875,0.00054875
87,4473.92,0.64887,0.81624,1.15491,0.59049,0.74289,0.67232,0.60696,0.65355,0.90966,1.08807,0.0005405,0.0005405,0.0005405
88,4526.75,0.65342,0.80376,1.15822,0.59353,0.76664,0.6889,0.62368,0.64718,0.9471,1.07409,0.00053225,0.00053225,0.00053225
89,4578.63,0.65791,0.80334,1.15706,0.61132,0.7246,0.69281,0.61907,0.6653,0.96979,1.08658,0.000524,0.000524,0.000524
90,4626.88,0.66569,0.81005,1.16136,0.60042,0.7405,0.68461,0.61819,0.65088,0.89001,1.07826,0.00051575,0.00051575,0.00051575
